Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
l_leg_pitch_link,0.0017465196364534,-0.0151839883611865,-0.0390587760208022,0,0,0,0.309914324211147,0.000477105783950945,-3.81579125439432E-05,3.61684487685865E-05,0.000628348279187562,1.79488688829604E-05,0.000320010215866888,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_leg_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_leg_pitch_link.STL,,TUIL-2/LEG002-1/Mirroratom hip jointV6(3)-1/Mirrorroll Axis Rotation Assembly 01(2)-1/Mirrorpitch motor rear  bearing end cover01(2)-1;TUIL-2/LEG002-1/Mirroratom hip jointV6(3)-1/Mirrorroll Axis Rotation Assembly 01(2)-1/Mirrorroll motor mount 041-1,l_leg_pitch_cs,l_leg_pitch_axis,l_leg_pitch_joint,revolute,0.0010184,0.1,0.03875,0,0,0,base_link,0,1,0,0,0,-2.09,2.09,,,,,,,,
l_leg_roll_link,0.00150195432176797,-4.23871338150611E-05,-0.0518258652071967,0,0,0,0.356377578543246,0.000681416665338766,-4.58652114183498E-07,-9.18305900323779E-05,0.000628418379722487,-3.7663345048673E-08,0.000352436450573179,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_leg_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_leg_roll_link.STL,,TUIL-2/LEG002-1/Mirroratom hip jointV6(3)-1/MirrorYaw Axis Rotation Assembly(2)-1/Mirroryaw motor mount 01_金属嵌件-1,l_leg_roll_cs,l_leg_roll_axis,l_leg_roll_joint,revolute,0,0,-0.0665,0,0,0,l_leg_pitch_link,1,0,0,0,0,-0.66,1.57,,,,,,,,
l_leg_yaw_link,0.00688680146192925,2.75888577165179E-05,-0.0776790209196168,0,0,0,0.351281547974175,0.000387979997913361,1.03305408619572E-06,-4.68970690468655E-05,0.00053103640332835,-5.03603415146979E-06,0.000226868244320112,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_leg_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_leg_yaw_link.STL,,TUIL-2/LEG001-1/MirrorLEG_SHELL_R_ASM-1/mxiguanjie-1/MirrorB00(2)-1;TUIL-2/LEG001-1/MirrorLEG_SHELL_R_ASM-1/mxiguanjie-1/MirrorA00(2)-1,l_leg_yaw_cs,l_leg_yaw_axis,l_leg_yaw_joint,revolute,0,0,-0.098,0,0,0,l_leg_roll_link,0,0,1,0,0,-2.53,2.53,,,,,,,,
l_knee_pitch_link,0.0106318854288851,-2.12307313270099E-06,-0.0813826822028919,0,0,0,0.607886709000455,0.00263865683540794,-3.18798837220887E-06,-0.000229221928603873,0.00257426723774764,-6.06209888339468E-06,0.000760032060440305,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_knee_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_knee_pitch_link.STL,,TUIL-2/LEG001-1/MirrorLEG_SHELL_R_ASM-1/装配体1-1/MirrorBUMI__25122400_ASM-1/MirrorR000-1-1;TUIL-2/LEG001-1/MirrorLEG_SHELL_R_ASM-1/装配体1-1/MirrorBUMI__25122400_ASM-1/Mirror00-0-1;TUIL-2/LEG001-1/MirrorLEG_SHELL_R_ASM-1/装配体1-1/MirrorBUMI__25122400_ASM-1/MirrorR000-1,l_knee_pitch_cs,l_knee_pitch_axis,l_knee_pitch_joint,revolute,0,0,-0.101,0,0,0,l_leg_yaw_link,0,1,0,0,0,0,2.24,,,,,,,,
l_ankle_pitch_link,-0.000126284177369486,-0.000204980144289574,0.00256426515855779,0,0,0,0.0867640933940637,1.32678838410965E-05,2.26103231749834E-09,-2.81434051803599E-08,2.38969376355389E-05,-4.62729426865488E-08,1.57773244740074E-05,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_ankle_pitch_link.STL,,TUIL-2/LEG001-1/pitch111-1/crbt-1/MirrorMirrorMIRROR5901000_1_2-1,l_ankle_pitch_cs,l_ankle_pitch_axis,l_ankle_pitch_joint,revolute,0.00066801,-0.0005,-0.20237,0,0,0,l_knee_pitch_link,0,1,0,0,0,-0.96,0.44,,,,,,,,
l_ankle_roll_link,0.0196242554629481,-4.25997898333141E-06,-0.0283168836413804,0,0,0,0.745846552275385,0.000419309838689918,-5.94860863207204E-08,-7.4070083260132E-06,0.00210851574469838,8.64522228233473E-09,0.00240629233286008,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_ankle_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_ankle_roll_link.STL,,TUIL-2/LEG001-1/roll111-1/sh01-1/sh001-1/sh44-1;TUIL-2/LEG001-1/roll111-1/sh01-1/sh001-1/sh33-1;TUIL-2/LEG001-1/roll111-1/sh01-1/sh001-1/sh55-1,l_ankle_roll_cs,l_ankle_roll_axis,l_ankle_roll_joint,revolute,0,0,0,0,0,0,l_ankle_pitch_link,1,0,0,0,0,-0.17,0.17,,,,,,,,
r_leg_pitch_link,0.00174412797805353,0.0151844907338385,-0.0390580489735053,0,0,0,0.309921123666684,0.000477098545864035,3.8165050774135E-05,3.6168254537273E-05,0.000628351851661016,-1.79437902227087E-05,0.0003200232208117,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_leg_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_leg_pitch_link.STL,,TUIR-1/MLEG002-1/MMirroratom hip jointV6(3)-1/MMirrorroll Axis Rotation Assembly 01(2)-1/MMirrorroll motor mount 041-1;TUIR-1/MLEG002-1/MMirroratom hip jointV6(3)-1/MMirrorroll Axis Rotation Assembly 01(2)-1/MMirrorpitch motor rear  bearing end cover01(2)-1,r_leg_pitch_cs,r_leg_pitch_joint,r_leg_pitch_joint,revolute,0.0010184,-0.1,0.03875,0,0,0,base_link,0,1,0,0,0,-2.09,2.09,,,,,,,,
r_leg_roll_link,0.00149403424077827,4.46154321772502E-05,-0.051847690796416,0,0,0,0.356270462748284,0.000681044792080943,4.43554156798815E-07,-9.17878185307212E-05,0.00062804926950855,-2.74183609701795E-08,0.000352407854213437,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_leg_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_leg_roll_link.STL,,TUIR-1/MLEG002-1/MMirroratom hip jointV6(3)-1/MMirrorYaw Axis Rotation Assembly(2)-1/MMirroryaw motor mount 01_金属嵌件-1,r_leg_roll_cs,r_leg_roll_joint,r_leg_roll_joint,revolute,0,0,-0.0665,0,0,0,r_leg_pitch_link,1,0,0,0,0,-1.57,0.66,,,,,,,,
r_leg_yaw_link,0.00688574381952628,-2.69774681152385E-05,-0.0776794735909096,0,0,0,0.351246337620184,0.000387971986468546,-1.03427651308312E-06,-4.6892624609031E-05,0.000531006642709785,5.03693902932999E-06,0.000226845980302558,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_leg_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_leg_yaw_link.STL,,TUIR-1/MLEG001-1/MMirrorLEG_SHELL_R_ASM-1/Mmxiguanjie-1/MMirrorA00(2)-1;TUIR-1/MLEG001-1/MMirrorLEG_SHELL_R_ASM-1/Mmxiguanjie-1/MMirrorB00(2)-1,r_leg_yaw_cs,r_leg_yaw_joint,r_leg_yaw_joint,revolute,0,0,-0.098,0,0,0,r_leg_roll_link,0,0,1,0,0,-2.53,2.53,,,,,,,,
r_knee_pitch_link,0.0106315323009457,1.35884384504792E-05,-0.0813636394498824,0,0,0,0.607836304527828,0.00263875643335865,3.48600239704782E-06,-0.000229146777000563,0.00257437524035299,4.79271619678946E-06,0.000759989839536905,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_knee_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_knee_pitch_link.STL,,TUIR-1/MLEG001-1/MMirrorLEG_SHELL_R_ASM-1/M装配体1-1/MMirrorBUMI__25122400_ASM-1/MMirror00-0-1;TUIR-1/MLEG001-1/MMirrorLEG_SHELL_R_ASM-1/M装配体1-1/MMirrorBUMI__25122400_ASM-1/MMirrorR000-1-1;TUIR-1/MLEG001-1/MMirrorLEG_SHELL_R_ASM-1/M装配体1-1/MMirrorBUMI__25122400_ASM-1/MMirrorR000-1,r_knee_pitch_cs,r_knee_pitch_joint,r_knee_pitch_joint,revolute,0,0,-0.101,0,0,0,r_leg_yaw_link,0,1,0,0,0,0,2.24,,,,,,,,
r_ankle_pitch_link,-0.0001262281777582,0.000204964378431788,0.00256425139044603,0,0,0,0.0867636973293923,1.32678733606931E-05,-2.23236839993887E-09,-2.81194336673869E-08,2.38968761092142E-05,4.62325796311259E-08,1.57771973639856E-05,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_ankle_pitch_link.STL,,TUIR-1/MLEG001-1/Mpitch111-1/Mcrbt1-1/MMirrorMirrorMIRROR5901000_1_21-1,r_ankle_pitch_cs,r_ankle_pitch_joint,r_ankle_pitch_joint,revolute,0.00066801,0.0005,-0.20237,0,0,0,r_knee_pitch_link,0,1,0,0,0,-0.96,0.44,,,,,,,,
r_ankle_roll_link,0.0196427473267885,2.3670431646014E-05,-0.0283080162400768,0,0,0,0.745306232472022,0.000418844343985566,6.80462981106101E-07,-7.4235827178933E-06,0.00210797032434754,-4.60253512879008E-08,0.00240528263981251,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_ankle_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_ankle_roll_link.STL,,TUIR-1/MLEG001-1/Mroll111-1/Msh011-1/Msh0011-1/Msh551-1;TUIR-1/MLEG001-1/Mroll111-1/Msh011-1/Msh0011-1/Msh441-1;TUIR-1/MLEG001-1/Mroll111-1/Msh011-1/Msh0011-1/Msh331-1,r_ankle_roll_cs,r_ankle_roll_joint,r_ankle_roll_joint,revolute,0,0,0,0,0,0,r_ankle_pitch_link,1,0,0,0,0,-0.17,0.17,,,,,,,,
