wall_time,rel_time,payload_t,root_x,root_y,root_z,stream_id,step_m
1779872355.476338,0.005495,709.500061,-1.983909,3.136405,0.830632,1779872355476-0,0.000000
1779872355.496601,0.025759,709.520020,-1.985750,3.138119,0.831306,1779872355496-0,0.002604
1779872355.516303,0.045460,709.540039,-1.985892,3.138319,0.831360,1779872355516-0,0.000251
1779872355.536332,0.065489,709.560059,-1.985491,3.138156,0.831215,1779872355536-0,0.000456
1779872355.556275,0.085432,709.580078,-1.984986,3.137823,0.831031,1779872355556-0,0.000632
1779872355.576316,0.105473,709.600037,-1.984075,3.137290,0.830686,1779872355576-0,0.001111
1779872355.596229,0.125386,709.620056,-1.983774,3.137146,0.830566,1779872355596-0,0.000355
1779872355.687337,0.216494,709.640076,-1.983220,3.136955,0.830333,1779872355616-0,0.000631
1779872355.687356,0.216513,709.660034,-1.983032,3.136923,0.830247,1779872355636-0,0.000209
1779872355.687360,0.216517,709.680054,-1.982715,3.136929,0.830090,1779872355656-0,0.000353
1779872355.687362,0.216519,709.700073,-1.982578,3.136959,0.830018,1779872355676-0,0.000157
1779872355.696391,0.225548,709.720032,-1.982292,3.137074,0.829862,1779872355696-0,0.000345
1779872355.716413,0.245571,709.740051,-1.982177,3.137135,0.829799,1779872355716-0,0.000145
1779872355.736506,0.265664,709.760071,-1.981948,3.137269,0.829681,1779872355736-0,0.000291
1779872355.756378,0.285535,709.780090,-1.984003,3.139244,0.830412,1779872355756-0,0.002943
1779872355.776379,0.305536,709.800049,-1.985560,3.141253,0.830992,1779872355776-0,0.002606
1779872355.796308,0.325465,709.820068,-1.985077,3.141161,0.830836,1779872355796-0,0.000516
1779872355.816328,0.345485,709.840027,-1.985297,3.141920,0.830968,1779872355816-0,0.000802
1779872355.869657,0.398814,709.860046,-1.985490,3.142434,0.831082,1779872355836-0,0.000561
1779872355.869670,0.398827,709.880066,-1.985218,3.142778,0.831060,1779872355856-0,0.000439
1779872355.876598,0.405756,709.900024,-1.985205,3.143054,0.831100,1779872355876-0,0.000279
1779872355.896502,0.425660,709.920044,-1.985174,3.143540,0.831173,1779872355896-0,0.000493
1779872355.916451,0.445608,709.940063,-1.985288,3.144045,0.831291,1779872355916-0,0.000531
1779872355.949557,0.478714,709.960022,-1.985758,3.145134,0.831600,1779872355936-0,0.001226
1779872355.956264,0.485421,709.980042,-1.985987,3.145644,0.831746,1779872355956-0,0.000577
1779872355.976232,0.505389,710.000061,-1.984999,3.145419,0.831495,1779872355976-0,0.001044
1779872355.996294,0.525452,710.020081,-1.985157,3.145851,0.831606,1779872355996-0,0.000474
1779872356.016291,0.545448,710.040039,-1.984153,3.145661,0.831340,1779872356016-0,0.001057
1779872356.036261,0.565418,710.060059,-1.983447,3.145346,0.831119,1779872356036-0,0.000803
1779872356.091104,0.620261,710.080078,-1.981616,3.144349,0.830508,1779872356056-0,0.002172
1779872356.091116,0.620274,710.100037,-1.980567,3.143875,0.830166,1779872356076-0,0.001202
1779872356.096519,0.625676,710.120056,-1.979211,3.143405,0.829736,1779872356096-0,0.001498
1779872356.116421,0.645578,710.140137,-1.978620,3.143268,0.829554,1779872356116-0,0.000633
1779872356.136621,0.665779,710.160034,-1.977432,3.143162,0.829207,1779872356136-0,0.001242
1779872356.160275,0.689432,710.180176,-1.976994,3.143201,0.829089,1779872356156-0,0.000456
1779872356.176933,0.706090,710.200317,-1.976229,3.143408,0.828902,1779872356176-0,0.000814
1779872356.196808,0.725965,710.220215,-1.975798,3.143635,0.828814,1779872356196-0,0.000494
1779872356.217335,0.746492,710.241028,-1.975263,3.144090,0.828731,1779872356217-0,0.000708
1779872356.236282,0.765439,710.260071,-1.975040,3.144364,0.828711,1779872356236-0,0.000353
1779872356.256280,0.785437,710.280029,-1.973763,3.144626,0.828415,1779872356256-0,0.001337
1779872356.279945,0.809102,710.300049,-1.974173,3.146210,0.828758,1779872356276-0,0.001672
1779872356.296310,0.825467,710.320068,-1.975192,3.148771,0.829417,1779872356296-0,0.002834
1779872356.316409,0.845566,710.340027,-1.975747,3.149999,0.829749,1779872356316-0,0.001388
1779872356.336309,0.865466,710.360046,-1.976906,3.152514,0.830430,1779872356336-0,0.002852
1779872356.356461,0.885618,710.380066,-1.977746,3.153847,0.830830,1779872356356-0,0.001625
1779872356.379551,0.908708,710.400269,-1.979260,3.156233,0.831528,1779872356376-0,0.002910
1779872356.396569,0.925726,710.420044,-1.979920,3.157298,0.831834,1779872356396-0,0.001290
1779872356.416798,0.945955,710.440063,-1.980727,3.158625,0.832210,1779872356416-0,0.001598
1779872356.436397,0.965554,710.460022,-1.981732,3.160345,0.832685,1779872356436-0,0.002048
