wall_time,rel_time,payload_t,root_x,root_y,root_z,stream_id,step_m
1779872154.736659,1.081208,508.760071,-4.237013,2.306472,0.830673,1779872154736-0,0.003272
1779872154.756481,1.101031,508.780060,-4.236928,2.310475,0.831333,1779872154756-0,0.004058
1779872154.786771,1.131320,508.800049,-4.236026,2.312776,0.831992,1779872154776-0,0.002558
1779872154.796325,1.140875,508.820038,-4.233645,2.316288,0.833501,1779872154796-0,0.004504
1779872154.816721,1.161270,508.840057,-4.232090,2.318057,0.834513,1779872154816-0,0.002563
1779872154.836544,1.181093,508.860046,-4.226733,2.320816,0.837113,1779872154836-0,0.006563
1779872154.856582,1.201131,508.880066,-4.222833,2.323370,0.839191,1779872154856-0,0.005104
1779872154.881786,1.226336,508.900055,-4.218859,2.325267,0.841450,1779872154876-0,0.004950
1779872154.896425,1.240974,508.920044,-4.215242,2.326270,0.843636,1779872154896-0,0.004343
1779872154.916374,1.260924,508.940063,-4.213865,2.326343,0.845044,1779872154916-0,0.001971
